"Issue Number","Issue URL","Title","Priority","Lane","Surface","Coupling","Wave","Effort"
"79","https://github.com/Ange230700/kraak-consulting/issues/79","[TASK][WEB-05] Optimiser accessibilite/performance (objectif Lighthouse > 90)","high","Lane A - Web public","web","independent","Wave 3A - Site public",""
"80","https://github.com/Ange230700/kraak-consulting/issues/80","[TASK][MOB-01] Initialiser app Ionic Angular dans apps/mobile","critical","Lane B - Platform & participant","mobile","independent","Wave 2 - Acces",""
"81","https://github.com/Ange230700/kraak-consulting/issues/81","[TASK][MOB-02] Mettre en place navigation shell (tabs/stack) et layout de base","critical","Lane B - Platform & participant","mobile","independent","Wave 2 - Acces",""
"82","https://github.com/Ange230700/kraak-consulting/issues/82","[TASK][MOB-03] Integrer theming, design tokens et composants UI de base","high","Lane B - Platform & participant","mobile","independent","Wave 2 - Acces",""
"83","https://github.com/Ange230700/kraak-consulting/issues/83","[TASK][MOB-04] Configurer Capacitor (Android/iOS) et builds debug","critical","Lane B - Platform & participant","mobile","independent","Wave 2 - Acces",""
"84","https://github.com/Ange230700/kraak-consulting/issues/84","[TASK][MOB-05] Ajouter service notifications push stub (FCM wiring initial)","high","Lane B - Platform & participant","mobile","independent","Wave 2 - Acces",""
"85","https://github.com/Ange230700/kraak-consulting/issues/85","[TASK][AUT-01] Configurer Supabase Auth (providers, policies de base)","critical","Lane B - Platform & participant","api","handoff","Wave 2 - Acces",""
"86","https://github.com/Ange230700/kraak-consulting/issues/86","[TASK][AUT-02] Implementer endpoints API auth/session (NestJS)","critical","Lane B - Platform & participant","api","handoff","Wave 2 - Acces",""
"87","https://github.com/Ange230700/kraak-consulting/issues/87","[TASK][AUT-03] Implementer ecrans login/signup/reset mobile","critical","Lane B - Platform & participant","mobile","independent","Wave 2 - Acces",""
"88","https://github.com/Ange230700/kraak-consulting/issues/88","[TASK][AUT-04] Implementer garde routes protegees web/mobile","critical","Lane B - Platform & participant","shared","paired","Wave 2 - Acces",""
"89","https://github.com/Ange230700/kraak-consulting/issues/89","[TASK][AUT-05] Ajouter gestion role participant/admin minimal","high","Lane B - Platform & participant","api","independent","Wave 2 - Acces",""
"90","https://github.com/Ange230700/kraak-consulting/issues/90","[TASK][DSH-01] Definir contenu dashboard MVP (cartes, rappels, dernieres actus)","critical","Lane B - Platform & participant","shared","independent","Wave 3B - Parcours participant",""
"91","https://github.com/Ange230700/kraak-consulting/issues/91","[TASK][DSH-02] Exposer endpoint dashboard aggregate cote API","critical","Lane B - Platform & participant","api","handoff","Wave 3B - Parcours participant",""
"92","https://github.com/Ange230700/kraak-consulting/issues/92","[TASK][DSH-03] Implementer vue dashboard mobile","critical","Lane B - Platform & participant","mobile","independent","Wave 3B - Parcours participant",""
"93","https://github.com/Ange230700/kraak-consulting/issues/93","[TASK][DSH-04] Implementer vue dashboard web participant (si activee MVP)","high","Lane A - Web public","web","independent","Wave 3B - Parcours participant",""
"94","https://github.com/Ange230700/kraak-consulting/issues/94","[TASK][PRG-01] Definir modele programme/cohorte/statut progression MVP","critical","Lane B - Platform & participant","shared","independent","Wave 3B - Parcours participant",""
"95","https://github.com/Ange230700/kraak-consulting/issues/95","[TASK][PRG-02] Implementer endpoints liste/detail programmes","critical","Lane B - Platform & participant","api","handoff","Wave 3B - Parcours participant",""
"96","https://github.com/Ange230700/kraak-consulting/issues/96","[TASK][PRG-03] Implementer ecran mobile liste + detail programme","critical","Lane B - Platform & participant","mobile","independent","Wave 3B - Parcours participant",""
"97","https://github.com/Ange230700/kraak-consulting/issues/97","[TASK][PRG-04] Implementer marquage de progression minimale","high","Lane B - Platform & participant","api","independent","Wave 3B - Parcours participant",""
"98","https://github.com/Ange230700/kraak-consulting/issues/98","[TASK][PRG-05] Ajouter scenarii de test Given/When/Then programmes","high","Lane B - Platform & participant","qa","independent","Wave 3B - Parcours participant",""
"99","https://github.com/Ange230700/kraak-consulting/issues/99","[TASK][RES-01] Definir taxonomie ressources (type, theme, audience)","critical","Lane B - Platform & participant","shared","independent","Wave 3B - Parcours participant",""
"100","https://github.com/Ange230700/kraak-consulting/issues/100","[TASK][RES-02] Implementer endpoints ressources (liste, filtre, detail)","critical","Lane B - Platform & participant","api","handoff","Wave 3B - Parcours participant",""
"101","https://github.com/Ange230700/kraak-consulting/issues/101","[TASK][RES-03] Implementer ecran mobile ressources (recherche/filtre)","critical","Lane B - Platform & participant","mobile","independent","Wave 3B - Parcours participant",""
"102","https://github.com/Ange230700/kraak-consulting/issues/102","[TASK][RES-04] Implementer tracking consultation ressources","high","Lane B - Platform & participant","qa","independent","Wave 3B - Parcours participant",""
"103","https://github.com/Ange230700/kraak-consulting/issues/103","[TASK][ANN-01] Definir format annonce et regles de publication MVP","critical","Lane B - Platform & participant","shared","independent","Wave 3B - Parcours participant",""
"104","https://github.com/Ange230700/kraak-consulting/issues/104","[TASK][ANN-02] Implementer endpoints annonces (feed + detail)","critical","Lane B - Platform & participant","api","handoff","Wave 3B - Parcours participant",""
"105","https://github.com/Ange230700/kraak-consulting/issues/105","[TASK][ANN-03] Implementer flux annonces dans mobile dashboard/feed","critical","Lane B - Platform & participant","mobile","independent","Wave 3B - Parcours participant",""
"106","https://github.com/Ange230700/kraak-consulting/issues/106","[TASK][ANN-04] Ajouter notification push pour annonce prioritaire","high","Lane B - Platform & participant","mobile","independent","Wave 3B - Parcours participant",""
"107","https://github.com/Ange230700/kraak-consulting/issues/107","[TASK][SUP-01] Implementer endpoint contact/support (API + validation)","critical","Lane B - Platform & participant","api","handoff","Wave 3B - Parcours participant",""
"108","https://github.com/Ange230700/kraak-consulting/issues/108","[TASK][SUP-02] Integrer formulaire support dans mobile","critical","Lane B - Platform & participant","mobile","independent","Wave 3B - Parcours participant",""
"109","https://github.com/Ange230700/kraak-consulting/issues/109","[TASK][SUP-03] Integrer formulaire contact site web","critical","Lane A - Web public","web","independent","Wave 3A - Site public",""
"110","https://github.com/Ange230700/kraak-consulting/issues/110","[TASK][SUP-04] Configurer envoi email transactionnel (Resend ou equivalent)","high","Lane B - Platform & participant","api","independent","Wave 3B - Parcours participant",""
"111","https://github.com/Ange230700/kraak-consulting/issues/111","[TASK][SUP-05] Ajouter suivi et statut basique des demandes support","high","Lane B - Platform & participant","api","independent","Wave 3B - Parcours participant",""
"112","https://github.com/Ange230700/kraak-consulting/issues/112","[TASK][QAT-01] Definir matrice de couverture (page, composant, comportement)","critical","Shared handoff","qa","paired","Wave 4 - Qualite",""
"113","https://github.com/Ange230700/kraak-consulting/issues/113","[TASK][QAT-02] Ecrire tests unitaires composants critiques web/mobile","critical","Shared handoff","qa","paired","Wave 4 - Qualite",""
"114","https://github.com/Ange230700/kraak-consulting/issues/114","[TASK][QAT-03] Ecrire tests integration API modules critiques","critical","Shared handoff","qa","paired","Wave 4 - Qualite",""
"115","https://github.com/Ange230700/kraak-consulting/issues/115","[TASK][QAT-04] Ecrire E2E Given/When/Then pour parcours coeur participant","critical","Shared handoff","qa","paired","Wave 4 - Qualite",""
"116","https://github.com/Ange230700/kraak-consulting/issues/116","[TASK][QAT-05] Realiser campagne regression et corriger blockers","critical","Shared handoff","qa","paired","Wave 4 - Qualite",""
"117","https://github.com/Ange230700/kraak-consulting/issues/117","[TASK][QAT-06] Realiser checks accessibilite/performance pre-pilot","high","Shared handoff","qa","paired","Wave 4 - Qualite",""
"118","https://github.com/Ange230700/kraak-consulting/issues/118","[TASK][DEP-01] Configurer environnements (dev/staging/pilot)","critical","Shared handoff","ops","paired","Wave 5 - Release",""
"119","https://github.com/Ange230700/kraak-consulting/issues/119","[TASK][DEP-02] Mettre en place pipeline deploiement web","critical","Shared handoff","ops","paired","Wave 5 - Release",""
"120","https://github.com/Ange230700/kraak-consulting/issues/120","[TASK][DEP-03] Mettre en place pipeline deploiement API","critical","Shared handoff","ops","paired","Wave 5 - Release",""
"121","https://github.com/Ange230700/kraak-consulting/issues/121","[TASK][DEP-04] Preparer distribution mobile test (APK/TestFlight interne)","critical","Shared handoff","ops","paired","Wave 5 - Release",""
"122","https://github.com/Ange230700/kraak-consulting/issues/122","[TASK][DEP-05] Finaliser observabilite et alerting minimum","high","Shared handoff","ops","paired","Wave 5 - Release",""
"123","https://github.com/Ange230700/kraak-consulting/issues/123","[TASK][DEP-06] Rediger runbook incident + rollback + pilot checklist","critical","Shared handoff","ops","paired","Wave 5 - Release",""
"124","https://github.com/Ange230700/kraak-consulting/issues/124","[TASK][DEP-07] Executer go/no-go pilote et publier release pilote","critical","Shared handoff","ops","paired","Wave 5 - Release",""
"143","https://github.com/Ange230700/kraak-consulting/issues/143","[DOCS] Rework du GitHub Project MVP pour le pilotage a deux","medium","Shared handoff","docs","handoff","Wave 0 - Cadrage",""
"146","https://github.com/Ange230700/kraak-consulting/issues/146","[EPIC][ARC] Architecture","critical","Shared handoff","docs","portfolio","Wave 0 - Cadrage",""
"147","https://github.com/Ange230700/kraak-consulting/issues/147","[EPIC][SET] Workspace setup","critical","Shared handoff","shared","portfolio","Wave 1 - Socle",""
"148","https://github.com/Ange230700/kraak-consulting/issues/148","[EPIC][LIB] Shared libraries","critical","Shared handoff","shared","portfolio","Wave 1 - Socle",""
"149","https://github.com/Ange230700/kraak-consulting/issues/149","[EPIC][MOB] Mobile shell","critical","Lane B - Platform & participant","mobile","portfolio","Wave 2 - Acces",""
"150","https://github.com/Ange230700/kraak-consulting/issues/150","[EPIC][AUT] Auth","critical","Lane B - Platform & participant","api","portfolio","Wave 2 - Acces",""
"151","https://github.com/Ange230700/kraak-consulting/issues/151","[EPIC][WEB] Website","critical","Lane A - Web public","web","portfolio","Wave 3A - Site public",""
"152","https://github.com/Ange230700/kraak-consulting/issues/152","[EPIC][DSH] Dashboard","critical","Lane B - Platform & participant","mobile","portfolio","Wave 3B - Parcours participant",""
"153","https://github.com/Ange230700/kraak-consulting/issues/153","[EPIC][PRG] Programs","critical","Lane B - Platform & participant","mobile","portfolio","Wave 3B - Parcours participant",""
"154","https://github.com/Ange230700/kraak-consulting/issues/154","[EPIC][RES] Resources","critical","Lane B - Platform & participant","mobile","portfolio","Wave 3B - Parcours participant",""
"155","https://github.com/Ange230700/kraak-consulting/issues/155","[EPIC][ANN] Announcements","critical","Lane B - Platform & participant","mobile","portfolio","Wave 3B - Parcours participant",""
"156","https://github.com/Ange230700/kraak-consulting/issues/156","[EPIC][SUP] Support","critical","Lane B - Platform & participant","api","portfolio","Wave 3B - Parcours participant",""
"157","https://github.com/Ange230700/kraak-consulting/issues/157","[EPIC][QAT] QA","critical","Shared handoff","qa","portfolio","Wave 4 - Qualite",""
"158","https://github.com/Ange230700/kraak-consulting/issues/158","[EPIC][DEP] Deployment","critical","Shared handoff","ops","portfolio","Wave 5 - Release",""
"159","https://github.com/Ange230700/kraak-consulting/issues/159","[TASK][DEP-08] Aligner le domaine Vercel sur le nom du depot","medium","Shared handoff","ops","independent","Wave 5 - Release",""
"167","https://github.com/Ange230700/kraak-consulting/issues/167","chore(config): réorganiser les fichiers .env par application","","","","","",""
"176","https://github.com/Ange230700/kraak-consulting/issues/176","chore(repo): utiliser lint:fix dans le hook pre-commit","","","","","",""
"177","https://github.com/Ange230700/kraak-consulting/issues/177","fix(api): corriger le chemin dist et ajouter la dépendance contracts","high","Lane B - Platform & participant","api","independent","Wave 1 - Socle",""
"183","https://github.com/Ange230700/kraak-consulting/issues/183","docs(repo): enforce rebase-only merge strategy","","","","","",""
"184","https://github.com/Ange230700/kraak-consulting/issues/184","feat(api): ajouter la documentation Swagger/OpenAPI","","","","","",""
"190","https://github.com/Ange230700/kraak-consulting/issues/190","feat(api): démarrage gracieux sans Supabase","high","Shared handoff","api","independent","Wave 1 - Socle",""
"192","https://github.com/Ange230700/kraak-consulting/issues/192","[TASK][BRAND-01] Renforcer le branding web/mobile et harmoniser boutons et liens","high","Shared handoff","shared","paired","Wave 4 - Qualite",""
"194","https://github.com/Ange230700/kraak-consulting/issues/194","[TASK] Ajouter les icones de marque pour les shells web et mobile","","Shared handoff","shared","handoff","",""
"195","https://github.com/Ange230700/kraak-consulting/issues/195","fix(client): declarer mobile-web-app-capable sur web et mobile","medium","Shared handoff","shared","independent","Wave 4 - Qualite",""
"206","https://github.com/Ange230700/kraak-consulting/issues/206","Corriger le prebundle Vite du dev server mobile avec @kraak/api-client","high","Lane B - Platform & participant","mobile","independent","Wave 1 - Socle",""
"255","https://github.com/Ange230700/kraak-consulting/issues/255","fix: corriger les hotspots de sécurité Sonar (Docker chmod, ReDoS, SRI)","","","","","",""
"262","https://github.com/Ange230700/kraak-consulting/issues/262","fix(mobile): empêcher le crash au démarrage de l'APK Android (Firebase gating)","critical","Lane B - Platform & participant","mobile","independent","Wave 4 - Qualite",""
"267","https://github.com/Ange230700/kraak-consulting/issues/267","[TASK][WEB] Adapter le hero accueil en version dark image background","high","Lane A - Web public","web","independent","Wave 3A - Site public",""
"273","https://github.com/Ange230700/kraak-consulting/issues/273","style(web): normalize sign-in template wrapping","","","","","",""
"281","https://github.com/Ange230700/kraak-consulting/issues/281","[BUG][DEP-02] Corriger le dossier de sortie Vercel web","critical","Shared handoff","ops","handoff","Wave 5 - Release",""
"283","https://github.com/Ange230700/kraak-consulting/issues/283","fix(config): align production env file aliases","","","","","",""
"285","https://github.com/Ange230700/kraak-consulting/issues/285","fix(web): update footer Facebook link","","","","","",""
"287","https://github.com/Ange230700/kraak-consulting/issues/287","chore(client): refresh brand icons (browser tab + mobile launcher)","","","","","",""
"289","https://github.com/Ange230700/kraak-consulting/issues/289","feat(infra): tag-based prod release strategy (ARC-07)","","","","","",""
"290","https://github.com/Ange230700/kraak-consulting/issues/290","[TASK][WEB-CONTACT-EMAIL] Corriger l'adresse email affichée sur la page Contact","","Lane A - Web public","web","","",""
"297","https://github.com/Ange230700/kraak-consulting/issues/297","feat(web): feature flag pour masquer l'espace participant en prod","","","","","",""
"301","https://github.com/Ange230700/kraak-consulting/issues/301","fix(scripts): validate execSync input in setup-android-env","","","","","",""
"305","https://github.com/Ange230700/kraak-consulting/issues/305","fix: formulaire contact — 405 dû à apiBaseUrl vide en production","","","","","",""
"307","https://github.com/Ange230700/kraak-consulting/issues/307","fix(scripts): sécuriser setup-android-env contre l'injection commande","","","","","",""
"329","https://github.com/Ange230700/kraak-consulting/issues/329","[EPIC][PAY] Paiement en ligne","high","Lane B - Platform & participant","api","handoff","Wave 6 - Monetisation",""
"330","https://github.com/Ange230700/kraak-consulting/issues/330","[EPIC][LMS] Apprentissage et certification","high","Lane B - Platform & participant","shared","handoff","Wave 7 - Apprentissage",""
"331","https://github.com/Ange230700/kraak-consulting/issues/331","[EPIC][DOC] Documents participants","medium","Lane B - Platform & participant","shared","handoff","Wave 6 - Monetisation",""
"332","https://github.com/Ange230700/kraak-consulting/issues/332","[EPIC][CMS] Gestion de contenu admin","high","Lane A - Web public","shared","handoff","Wave 6 - Monetisation",""
"333","https://github.com/Ange230700/kraak-consulting/issues/333","[EPIC][CRM] Relation client et marketing","low","Lane B - Platform & participant","shared","handoff","Wave 7 - Apprentissage",""
"334","https://github.com/Ange230700/kraak-consulting/issues/334","[EPIC][QA2] Qualité et couverture V1.1","high","Shared handoff","qa","portfolio","Wave 8 - Release V1.1",""
"335","https://github.com/Ange230700/kraak-consulting/issues/335","[EPIC][DEP2] Déploiement V1.1","high","Shared handoff","ops","portfolio","Wave 8 - Release V1.1",""
"336","https://github.com/Ange230700/kraak-consulting/issues/336","[TASK][PAY-01] Integrer Stripe (providers, webhooks, cles API)","high","Lane B - Platform & participant","api","handoff","Wave 6 - Monetisation",""
"337","https://github.com/Ange230700/kraak-consulting/issues/337","[TASK][PAY-02] Implementer checkout sessions (paiement unique)","high","Lane B - Platform & participant","api","handoff","Wave 6 - Monetisation",""
"338","https://github.com/Ange230700/kraak-consulting/issues/338","[TASK][PAY-03] Implementer abonnements et plans recurrents","medium","Lane B - Platform & participant","api","handoff","Wave 6 - Monetisation",""
"339","https://github.com/Ange230700/kraak-consulting/issues/339","[TASK][PAY-04] Integrer UI paiement web (checkout et confirmation)","high","Lane B - Platform & participant","web","handoff","Wave 6 - Monetisation",""
"340","https://github.com/Ange230700/kraak-consulting/issues/340","[TASK][PAY-05] Integrer UI paiement mobile (checkout Stripe mobile)","medium","Lane B - Platform & participant","mobile","handoff","Wave 6 - Monetisation",""
"341","https://github.com/Ange230700/kraak-consulting/issues/341","[TASK][PAY-06] Generer factures et recus automatiques (Stripe + Resend)","medium","Lane B - Platform & participant","api","handoff","Wave 6 - Monetisation",""
"342","https://github.com/Ange230700/kraak-consulting/issues/342","[TASK][LMS-01] Definir modele cours/module/lecon/quiz","high","Lane B - Platform & participant","shared","handoff","Wave 7 - Apprentissage",""
"343","https://github.com/Ange230700/kraak-consulting/issues/343","[TASK][LMS-02] Implementer endpoints contenu cours (liste, detail, progression)","high","Lane B - Platform & participant","api","handoff","Wave 7 - Apprentissage",""
"344","https://github.com/Ange230700/kraak-consulting/issues/344","[TASK][LMS-03] Implementer lecteur de contenu mobile","high","Lane B - Platform & participant","mobile","handoff","Wave 7 - Apprentissage",""
"345","https://github.com/Ange230700/kraak-consulting/issues/345","[TASK][LMS-04] Implementer suivi de progression avance","high","Lane B - Platform & participant","api","handoff","Wave 7 - Apprentissage",""
"346","https://github.com/Ange230700/kraak-consulting/issues/346","[TASK][LMS-05] Implementer logique de certification (attestation PDF)","medium","Lane B - Platform & participant","api","handoff","Wave 7 - Apprentissage",""
"347","https://github.com/Ange230700/kraak-consulting/issues/347","[TASK][LMS-06] Implementer espace apprenant web","medium","Lane B - Platform & participant","web","handoff","Wave 7 - Apprentissage",""
"348","https://github.com/Ange230700/kraak-consulting/issues/348","[TASK][DOC-01] Definir modele document (type, visibilite, proprietaire)","medium","Lane B - Platform & participant","shared","handoff","Wave 6 - Monetisation",""
"349","https://github.com/Ange230700/kraak-consulting/issues/349","[TASK][DOC-02] Implementer endpoints upload/download (Supabase Storage)","medium","Lane B - Platform & participant","api","handoff","Wave 6 - Monetisation",""
"350","https://github.com/Ange230700/kraak-consulting/issues/350","[TASK][DOC-03] Implementer espace documents mobile","medium","Lane B - Platform & participant","mobile","handoff","Wave 6 - Monetisation",""
"351","https://github.com/Ange230700/kraak-consulting/issues/351","[TASK][DOC-04] Implementer espace documents web","low","Lane B - Platform & participant","web","handoff","Wave 6 - Monetisation",""
"352","https://github.com/Ange230700/kraak-consulting/issues/352","[TASK][CMS-01] Definir modele editorial (article, categorie, tag, auteur)","high","Lane A - Web public","shared","handoff","Wave 6 - Monetisation",""
"353","https://github.com/Ange230700/kraak-consulting/issues/353","[TASK][CMS-02] Implementer endpoints admin publication (CRUD articles)","high","Lane A - Web public","api","handoff","Wave 6 - Monetisation",""
"354","https://github.com/Ange230700/kraak-consulting/issues/354","[TASK][CMS-03] Implementer blog/actualites web (liste, detail, SEO)","high","Lane A - Web public","web","handoff","Wave 6 - Monetisation",""
"355","https://github.com/Ange230700/kraak-consulting/issues/355","[TASK][CMS-04] Implementer dashboard admin gestion programmes et ressources","high","Lane A - Web public","web","handoff","Wave 6 - Monetisation",""
"356","https://github.com/Ange230700/kraak-consulting/issues/356","[TASK][CRM-01] Enrichir profil participant (competences, objectifs, historique)","low","Lane B - Platform & participant","api","handoff","Wave 7 - Apprentissage",""
"357","https://github.com/Ange230700/kraak-consulting/issues/357","[TASK][CRM-02] Implementer vue admin participants","low","Lane B - Platform & participant","web","handoff","Wave 7 - Apprentissage",""
"358","https://github.com/Ange230700/kraak-consulting/issues/358","[TASK][CRM-03] Implementer scoring et segmentation basique","low","Lane B - Platform & participant","api","handoff","Wave 7 - Apprentissage",""
"359","https://github.com/Ange230700/kraak-consulting/issues/359","[TASK][CRM-04] Configurer sequences email marketing (Resend)","low","Lane B - Platform & participant","api","handoff","Wave 7 - Apprentissage",""
"360","https://github.com/Ange230700/kraak-consulting/issues/360","[TASK][QA2-01] Definir matrice couverture V1.1","high","Shared handoff","shared","portfolio","Wave 8 - Release V1.1",""
"361","https://github.com/Ange230700/kraak-consulting/issues/361","[TASK][QA2-02] Ecrire tests unitaires composants et services V1.1","high","Shared handoff","shared","portfolio","Wave 8 - Release V1.1",""
"362","https://github.com/Ange230700/kraak-consulting/issues/362","[TASK][QA2-03] Ecrire tests E2E parcours paiement et apprentissage","high","Shared handoff","qa","portfolio","Wave 8 - Release V1.1",""
"363","https://github.com/Ange230700/kraak-consulting/issues/363","[TASK][QA2-04] Campagne regression V1.1 et correction des blockers","high","Shared handoff","qa","portfolio","Wave 8 - Release V1.1",""
"364","https://github.com/Ange230700/kraak-consulting/issues/364","[TASK][DEP2-01] Migrer schema DB V1.1 (Supabase migrations)","high","Shared handoff","shared","portfolio","Wave 8 - Release V1.1",""
"365","https://github.com/Ange230700/kraak-consulting/issues/365","[TASK][DEP2-02] Configurer variables d'environnement V1.1 (Stripe, Storage, LMS)","high","Shared handoff","ops","portfolio","Wave 8 - Release V1.1",""
"366","https://github.com/Ange230700/kraak-consulting/issues/366","[TASK][DEP2-03] Executer release tag V1.1 et deploiement staging vers prod","high","Shared handoff","ops","portfolio","Wave 8 - Release V1.1",""
"382","https://github.com/Ange230700/kraak-consulting/issues/382","[TASK][AUT-06] Finaliser le flux Auth web","high","Lane B - Platform & participant","web","independent","Wave 2 - Acces","5"
"383","https://github.com/Ange230700/kraak-consulting/issues/383","SUP-07 - Finaliser le flux Support web (FAQ + 404 + navigation cohérente)","","","","","",""
"392","https://github.com/Ange230700/kraak-consulting/issues/392","[TASK][QAT-07] Couvrir les parcours auth + support en Given/When/Then","","","","","",""
"393","https://github.com/Ange230700/kraak-consulting/issues/393","[TASK] Corriger l'orthographe française à travers le dépôt","medium","Shared handoff","docs","independent","Wave 4 - Qualite",""
"400","https://github.com/Ange230700/kraak-consulting/issues/400","[TASK][WEB-CONTENT] Aligner le contenu vitrine avec le master DOCX","high","Lane A - Web public","web","independent","Wave 3A - Site public",""
"402","https://github.com/Ange230700/kraak-consulting/issues/402","fix(web): corriger le handler inline stylesheet bloqu? par la CSP","","","","","",""
"421","https://github.com/Ange230700/kraak-consulting/issues/421","[TASK][WEB-01] Corriger la sanitation des logos partenaires sur l'accueil","critical","Lane A - Web public","web","","Wave 3A - Site public",""
"427","https://github.com/Ange230700/kraak-consulting/issues/427","[BUG] Corriger les 500 de l'espace participant sur staging (schema drift Supabase)","critical","Lane B - Platform & participant","api","independent","Wave 3B - Parcours participant",""
"429","https://github.com/Ange230700/kraak-consulting/issues/429","[BUG][WEB] Unifier la FAQ vitrine et renforcer la visibilité des réseaux sociaux","high","Lane A - Web public","web","independent","Wave 3A - Site public",""
"492","https://github.com/Ange230700/kraak-consulting/issues/492","fix(api): extract update helpers and fix implicit any in articles service","","","","","",""
"544","https://github.com/Ange230700/kraak-consulting/issues/544","[TASK][WEB] Renforcer les animations marketing et le branding de navigation","","Lane A - Web public","web","independent","Wave 3A - Site public",""
"608","https://github.com/Ange230700/kraak-consulting/issues/608","[ALERT][DEP-05][production] Observability check failure","critical","Shared handoff","ops","handoff","Wave 5 - Release","3"
"618","https://github.com/Ange230700/kraak-consulting/issues/618","[DEFECT][QAT-05] Restaurer l'artefact Newman du workflow Nightly Regression","critical","Shared handoff","qa","handoff","Wave 4 - Qualite","5"
"619","https://github.com/Ange230700/kraak-consulting/issues/619","[OPS] Restaurer l'exécution GitHub Actions bloquée par billing","critical","Shared handoff","ops","handoff","Wave 5 - Release","3"
"620","https://github.com/Ange230700/kraak-consulting/issues/620","[TASK][OPS-01] Normaliser le GitHub Project #6","high","Shared handoff","ops","handoff","Wave 5 - Release","3"
